# RNG-word TAINT manifest — the reviewed registry behind scripts/check-rng-taint.sh.
#
# Companion of scripts/rng-window-manifest.tsv. That registry tracks the VRF-word STORAGE
# identifiers; this one tracks the word once it travels by PARAMETER: every function that
# declares a word-shaped parameter (PARAM rows, subject = the parameter) and every
# cross-contract call that passes a word-shaped identifier (ARG rows, subject = the callee),
# as re-derived from source by scripts/lib/rng_taint_extract.py. The gate keeps this registry
# in exact correspondence with source; the CLASS column is the reviewed judgement.
#
# Classes: CONSUMER-SEALED (derives an outcome from a word already committed; rationale names
# the commitment point and the frozen inputs) · EXEMPT-ADVANCE (the crank / fulfilment /
# backfill machinery) · PURE-DERIVE (a pure helper mapping a committed word to a value, no actor
# input) · PRODUCER (requests or lands a word) · GATE (readiness read only) · VIEW (off-chain
# read surface) · NOT-RNG (a name collision — the value is not a VRF word).
#
# One row carries a BY-DESIGN note (the deity's choice among three one-shot boon slots after
# the day's word is public — deity-daily-boon-slots-3, v68 RNGF-LBX-07, LOW): recorded, not
# hidden.
#
# Columns: CLASS  kind  subject  function  file  rationale
CLASS	kind	subject	function	file	rationale
EXEMPT-ADVANCE	PARAM	rngWord	processCoinflipPayouts	Coinflip.sol	onlyDegenerusGameContract; rngWord is the applied day word forwarded by rngGate/_gameOverEntropy/_backfillGapDays; win bit + reward% stored once per epoch
EXEMPT-ADVANCE	PARAM	rngWord	bafDrawWinner	Coinflip.sol	view drawn by DegenerusJackpots.runBafJackpot inside the transition advance; book bafDrawEntry[bafDrawDay] closes at the day boundary, before that word's request
PURE-DERIVE	PARAM	seed	_settleSlip	Craps.sol	internal pure engine; seed = _crapsSeed(word, slot) from the caller; board, owner and boost row fixed at entry close, before the slot's index word existed
PURE-DERIVE	PARAM	seed	handSeed	Craps.sol	internal pure keccak(seed, hand i); no actor input
PURE-DERIVE	PARAM	seed	_runSettlement	Craps.sol	private pure hand machine over the committed seed; the board is the frozen, scattered slip
PURE-DERIVE	PARAM	seed	_runSideSettlement	Craps.sol	private pure place/hardway specialization of _runSettlement over the same committed seed
PURE-DERIVE	PARAM	seed	_survived	Craps.sol	internal pure second-chance coin keccak(tag, seed, round, owner); owner fixed at placement, seed the table's
PURE-DERIVE	PARAM	seed	_boostedShooter	Craps.sol	internal pure shooter-boost draw keccak(tag, seed, shooter, owner) % 100 < chance; chance from the stored chip count, fixed before the word
PURE-DERIVE	PARAM	seed	_playerDraw	Craps.sol	private pure four-word keccak shared by _survived/_boostedShooter; no storage, no actor input
CONSUMER-SEALED	PARAM	word	_enterDayLane	CrapsBattle.sol	word = rngWordByDay[today] (_dailyWordAt, sealed at _applyDailyRng); draws the day's PUBLISHED terms/highMult seen before buying; dice ride the slot's later index word; _backfillGapDays is a second day-word writer; the day field freezes in _writeDaySeat
CONSUMER-SEALED	PARAM	word	_settleBatch	CrapsBattle.sol	word = _wordAt(_slotIndex[slot]-1), index bound at arm to _currentIndex()+1 (unworded); seats 1..entrants and their headers froze at entry close, before the arm; the seat->betId map recomputes ownN = entrants - dayTickets at settle, sound because the _dayTickets low bits stop at period-0 close
CONSUMER-SEALED	PARAM	word	_resolve	CrapsBattle.sol	same settling index word as _settleBatch; header (owner, chips, standing, flags) frozen at entry close (amendSlip gates on _joinableSlot); only the scoreboard is written; DAY tickets amend under the period-0 test (:1378-1382), not _joinableSlot; upgradeDayWindows is a second post-entry header writer, safe because a shut window reverts it wholesale
